"genus","species","taxon","taxon_provided","log10_range","mass_g","source_mass","n","kingdom","phylum","class","order","family","taxonomy_source","gbif_confidence","gbif_status","gbif_family","gbif_order","species_changed"
"Echinolittorina","Echinolittorina peruviana","Nodilittorina_peruviana","Nodilittorina peruviana",0,0.0129,"Brose_etal_2018",72,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","GBIF",98,"SYNONYM","Littorinidae","Littorinimorpha",TRUE
"Echinometra","Echinometra lucunter","Echinometra_lucunter","Echinometra lucunter",0,0.01,"Brose_etal_2018",12,"Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","GBIF",99,"ACCEPTED","Echinometridae","Camarodonta",FALSE
"Echinometra","Echinometra mathaei","Echinometra_mathaei","Echinometra mathaei",0,0.0066,"Brose_etal_2018",24,"Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","GBIF",99,"ACCEPTED","Echinometridae","Camarodonta",FALSE
"Echinoprocta","Echinoprocta rufescens","Coendou_rufescens","Coendou rufescens; Echinoprocta rufescens",6.26539894718894e-06,831.8,"Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003",4,"Animalia","Chordata","Mammalia","Rodentia","Erethizontidae","GBIF",98,"SYNONYM","Erethizontidae","Rodentia",TRUE
"Echinops","Echinops telfairi","Echinops_telfairi","Echinops telfairi",0.602059991327962,139,"AnAge; Brown_etal_2018; Cai_etal_2025; Ernest_2003; Faurby_etal_2018; Jones_2009; Myrhvold_2015; Smith_2003; vertnet-traits-sept2016",10,"Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","GBIF",99,"ACCEPTED","Tenrecidae","Afrosoricida",FALSE
"Echinopsolus","Echinopsolus acanthocola","Echinopsolus_acanthocola","Echinopsolus acanthocola",0,0.0081,"Brose_etal_2018",16,"Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","GBIF",99,"ACCEPTED","Cucumariidae","Dendrochirotida",FALSE
"Echinopsolus","Echinopsolus charcoti","Psolus_charcoti","Psolus charcoti",0,0.062,"Brose_etal_2018",16,"Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","GBIF",98,"SYNONYM","Cucumariidae","Dendrochirotida",TRUE
"Echinorhinus","Echinorhinus brucus","Echinorhinus_brucus","Echinorhinus brucus",0,76,"fishbase",1,"Animalia","Chordata","Elasmobranchii","Squaliformes","Echinorhinidae","GBIF",99,"ACCEPTED","Echinorhinidae","Squaliformes",FALSE
"Echinosaura","Echinosaura brachycephala","Echinosaura_brachycephala","Echinosaura brachycephala",0.00151922630568915,11.72,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",99,"ACCEPTED","Gymnophthalmidae",NA,FALSE
"Echinosaura","Echinosaura horrida","Echinosaura_horrida","Echinosaura horrida",0.528461394744765,12.4,"Feldman_etal_2016; Meiri_2018; Myrhvold_2015",3,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",99,"ACCEPTED","Gymnophthalmidae",NA,FALSE
"Echinosaura","Echinosaura keyi","Teuchocercus_keyi","Teuchocercus keyi; Echinosaura keyi",0.00122317412639544,12.78,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",98,"SYNONYM","Gymnophthalmidae",NA,TRUE
"Echinosaura","Echinosaura orcesi","Echinosaura_orcesi","Echinosaura orcesi",3.26549480888876e-05,13.3,"Feldman_etal_2016; Meiri_2018",2,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",99,"ACCEPTED","Gymnophthalmidae",NA,FALSE
"Echinosaura","Echinosaura palmeri","Echinosaura_palmeri","Echinosaura palmeri",0.233260585451727,7.071,"Feldman_etal_2016; Meiri_2018; Myrhvold_2015",3,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",99,"ACCEPTED","Gymnophthalmidae",NA,FALSE
"Echinosaura","Echinosaura panamensis","Echinosaura_panamensis","Echinosaura panamensis",0.314393957221963,8.189,"Feldman_etal_2016; Meiri_2018; Myrhvold_2015",3,"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","GBIF",99,"ACCEPTED","Gymnophthalmidae",NA,FALSE
"Echinosigra","Echinosigra phiale","Echinosigra_phiale","Echinosigra phiale",0,0.182,"Brown_etal_2018",1,"Animalia","Echinodermata","Echinoidea","Holasteroida","Pourtalesiidae","GBIF",99,"ACCEPTED","Pourtalesiidae","Holasteroida",FALSE
