Species,Endo.vs..Ecto,Mass..kg.,Dive.duration..min.,Maximum.dive.duration..min.,Temperature,Remarks,Literature.source,selected,Treenames
Deronectes lareynii,Ectotherm,0.000007050000000000,5.152,30.85,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_lareynii
Deronectes latus,Ectotherm,0.000008237500000000,5.946,55.35,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_latus
Deronectes mazzoldi,Ectotherm,0.000009762070000000,4.262,19.79166667,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_mazzoldi
Deronectes moestus,Ectotherm,0.000006533330000000,7.007,28,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_moestus
Deronectes opatrinus,Ectotherm,0.000010850000000000,4.143,17.11666667,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_opatrinus
Deronectes platynotus,Ectotherm,0.000009124440000000,1.206,4.408333333,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_platynotus
Deronectes semirufus,Ectotherm,0.000009046150000000,4.381,18.25,20.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_semirufus
Deronectes wewalkai,Ectotherm,0.000007364860000000,2.655,8.8,14.5,,"Calosi P, Bilton DT, Spicer JI, Verberk WCEP, Atfield A & Garland T Jr (2012) The comparative biology of diving in two genera of European Dytiscidae (Coleoptera). Journal of Evolutionary Biology 25: 329-341.(doi:10.1111/j.1420-9101.2011.02423.x)",1,Deronectes_wewalkai
Diomedea chrysostoma,Endotherm,3.500000000000000000,0.06,0.233333333,39.6,temperature taken to be similar to that for Diomedea exulans,"Huin, N. & P.A. Prince (1997) Diving behaviour of the grey-headed albatross. Antarct. Sci. 9: 243-249.",1,Diomedea_chrysostoma
Diomedea melanophrys,Endotherm,4.000000000000000000,0.0517,0.183333333,39.3,"temperature from: Bevan R, Boyd I, Butler P, Reid K, Woakes A, and Croxall J. 1997. Heart rates and abdominal temperatures of free-ranging South Georgian shags, Phalacrocorax georgianus. Journal of Experimental Biology 200:661-675.","Sakamoto, K.Q., A. Takahashi, T. Iwata & P.N. Trathan (2009) From the Eye of the Albatrosses: A Bird-Borne Camera Shows an Association between Albatrosses and a Killer Whale in the Southern Ocean. PLoS ONE 4: e7322. doi:10.1371/journal.pone.0007322",1,Diomedea_melanophrys
Dugong dugon,Endotherm,475.000000000000000000,2.9,12.3,31.4,"Temperature taken from: Suprayogi et al. 2011. Physiological values of electrocardiogram, heart rate, respiration rate and body temperature of Dugong dugon. Asian Association of Veterinary School","Chilvers, B.L., S. Delean, N.J. Gales, D.K. Holley, I.R. Lawler, H. Marsh & A.R. Preen (2004) Diving behaviour of dugongs, Dugong dugon. J. Exp. Mar. Biol. Ecol. 304: 203-224.",1,Dugong_dugon
Elusor macrurus,Ectotherm,0.012460000000000000,15.43,50.7,23,Captivity; tested under aquatic normoxia,"Clark NJ, Gordos MA, Franklin CE (2009) Implications of river damming: the influence of aquatic hypoxia on the diving physiology and behaviour of the endangered Mary River turtle. Anim Conserv 12:147—154",1,Elusor_macrurus
Emydocephalus annulatus,Ectotherm,0.141000000000000000,42.75,83.42,22,,"Heatwole, H. 1975. Voluntary submergence times of marine snakes. Mar. Biol. 32: 205-213.",1,Emydocephalus_annulatus
Emydura macquarii,Ectotherm,1.900000000000000000,9.6,85.2,25.9,,"Gordos M, and Franklin CE. 2002. Diving behaviour of two Australian bimodally respiring turtles, Rheodytes leukops and Emydura macquarii, in a natural setting. Journal of Zoology 258:335-342. 10.1017/s0952836902001474",1,Emydura_macquarii
Enhydra lutris,Endotherm,50.000000000000000000,NA,7.03333333,38.5,,"Estes JA, Bodkin JL, Ben-David M (2009) Otters, marine. In: Perrin
WF, Wtö rsig B, Thewissen JGM (eds) Encyclopedia of marine
mammals, 2nd edn. Elsevier, San Diego, pp 807—816",1,Enhydra_lutris
Eretmochelys imbricata,Ectotherm,77.000000000000000000,95.51,95.5,25.5,day,"Storch, S., R.P. Wilson, Z.M. Hillis-Starr & D. Adelung (2005) Cold-blooded divers: temperature-dependent dive performance in the wild hawksbill turtle Eretmochelys imbricata. Mar. Ecol. Progr. Ser. 293: 263-271.",1,Eretmochelys_imbricata
