Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
1893,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Oxyrrhis marina,,Unicell,Protozoan,Dinoflagellate,,,Stoeckeria algicida,,Mean,N,0,20.0,,,,42.00,1.70E-06,Average species volume,,9.17E-08,Alternate species volume,,m^3 per pred per day,1893,0.28,4.89E-09,3.28E-10,4.14E-08,6.09E-01,1.49E-01,8.60E-01,200,,
1894,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Oxyrrhis marina,,Unicell,Protozoan,Dinoflagellate,,,Luciella masanensis,,Mean,N,0,20.0,,,,42.00,1.70E-06,Average species volume,,1.00E-06,Alternate species volume,,m^3 per pred per day,1894,0.54,9.53E-10,1.97E-10,2.45E-09,5.49E-01,4.15E-10,1.32E+00,200,,
1895,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis jeokjo,,Unicell,Protozoan,Dinoflagellate,,,Pfiesteria piscicida,,Mean,N,0,20.0,,,,42.00,3.81E-04,Alternate species volume,,9.03E-07,Average species volume,,m^3 per pred per day,1895,0.93,6.49E-07,4.25E-07,9.89E-07,1.39E-03,1.26E-03,1.51E-03,200,,
1896,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis jeokjo,,Unicell,Protozoan,Dinoflagellate,,,Stoeckeria algicida,,Mean,N,0,20.0,,,,42.00,3.81E-04,Alternate species volume,,9.17E-08,Alternate species volume,,m^3 per pred per day,1896,0.91,3.95E-07,2.64E-07,5.84E-07,1.63E-03,1.14E-03,1.90E-03,200,,
1897,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Acartia sp.,,Unicell,Protozoan,Dinoflagellate,,,Pfiesteria piscicida,,Mean,N,0,20.0,,,,42.00,3.00E-02,Average genus mass,,9.03E-07,Average species volume,,m^3 per pred per day,1897,0.73,6.55E-06,2.96E-06,1.63E-05,3.93E-06,5.98E-14,1.69E-05,200,,
1898,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Acartia sp.,,Unicell,Protozoan,Dinoflagellate,,,Stoeckeria algicida,,Mean,N,0,20.0,,,,42.00,3.00E-02,Average genus mass,,9.17E-08,Alternate species volume,,m^3 per pred per day,1898,0.73,2.01E-05,7.06E-06,6.04E-05,1.89E-05,2.79E-06,3.00E-05,200,,
1899,Jeong et al 2007b MEPS dinoflagellates,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Acartia sp.,,Unicell,Protozoan,Dinoflagellate,,,Luciella masanensis,,Mean,N,0,20.0,,,,42.00,3.00E-02,Average genus mass,,1.00E-06,Alternate species volume,,m^3 per pred per day,1899,0.75,1.43E-05,3.56E-06,3.27E-05,1.23E-05,1.77E-07,3.09E-05,200,,
1900,Jeong et al 2011,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Gyrodiniellum shiwhaense,,Unicell,Algae,Cryptophyte,,,Teleaulax sp.,,Mean,N,0,20.0,,,,42.00,1.04E-06,Original species volume,,9.17E-08,Original species length,,m^3 per pred per day,1900,0.51,1.65E-08,8.46E-09,5.94E-08,4.81E-02,4.02E-02,5.83E-02,200,,
1901,Jeong et al 2011,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Gyrodiniellum shiwhaense,,Unicell,Protozoan,Dinoflagellate,,,Amphidinium carterae,,Mean,N,0,20.0,,,,42.00,1.86E-06,Original species volume,,4.77E-07,Alternate species length,,m^3 per pred per day,1901,0.61,3.72E-08,2.36E-08,5.88E-08,1.26E-01,1.09E-01,1.49E-01,200,,
1902,Jeong et al 2001 MEPS,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Oxyrrhis marina,,Unicell,Protozoan,Dinoflagellate,,,Amphidinium carterae,,Mean,N,0,20.0,,,,270.00,1.40E-06,Original species volume,,4.77E-07,Alternate species length,,m^3 per pred per day,1902,0.86,2.73E-08,2.28E-08,3.18E-08,3.39E-02,3.05E-02,3.81E-02,200,,
1903,Jeong et al 2001 MEPS,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Acartia sp.,,Unicell,Protozoan,Dinoflagellate,,,Oxyrrhis marina,,Mean,N,0,20.0,,,,270.00,3.00E-02,Average genus mass,,1.40E-06,Original species volume,,m^3 per pred per day,1903,0.81,1.64E-05,1.09E-05,2.60E-05,4.68E-05,1.18E-05,7.98E-05,200,,
1904,Jeong et al 2001 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Polykrikos kofoidii,,Unicell,Protozoan,Dinoflagellate,,,Gymnodinium catenatum,,Mean,N,0,19.0,,,,80.00,4.30E-05,Original species volume,,2.06E-05,Original species volume,,m^3 per pred per day,1904,0.52,8.82E-08,5.67E-08,1.62E-07,1.10E-01,9.51E-02,1.28E-01,200,,
1905,Jeong et al 2001 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Polykrikos kofoidii,,Unicell,Protozoan,Dinoflagellate,,,Scrippsiella trochoidea,,Mean,N,0,19.0,,,,80.00,4.30E-05,Original species volume,,8.30E-06,Original species volume,,m^3 per pred per day,1905,0.73,4.55E-08,3.22E-08,7.66E-08,5.19E-02,4.82E-02,5.64E-02,200,,
1906,Jeong et al 2001 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Polykrikos kofoidii,,Unicell,Protozoan,Dinoflagellate,,,Lingulodinium polyedrum,,Mean,N,0,19.0,,,,80.00,4.30E-05,Original species volume,,2.85E-05,Original species volume,,m^3 per pred per day,1906,0.73,1.34E-07,8.30E-08,3.05E-07,1.02E-01,9.48E-02,1.13E-01,200,,
1907,Jeong et al 2001 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Polykrikos kofoidii,,Unicell,Protozoan,Dinoflagellate,,,Ceratium furca,,Mean,N,0,19.0,,,,80.00,4.30E-05,Original species volume,,1.27E-05,Original species volume,,m^3 per pred per day,1907,0.17,3.06E-07,1.30E-07,1.78E-06,1.25E-01,8.79E-02,1.58E-01,200,,
1908,Jeong et al 2001 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Polykrikos kofoidii,,Unicell,Protozoan,Dinoflagellate,,,Prorocentrum micans,,Mean,N,0,19.0,,,,80.00,4.30E-05,Original species volume,,9.20E-06,Original species volume,,m^3 per pred per day,1908,0.26,9.41E-08,4.32E-08,3.09E-07,1.93E-01,1.43E-01,2.47E-01,200,,
1909,Jeong and Latz 1994 MEPS,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Protoperidinium cf. divergens,,Unicell,Protozoan,Dinoflagellate,,,Gonyaulax polyedra,,Mean,N,0,19.0,,272,,32.00,1.19E-04,Original species volume,,2.57E-05,Original species volume,,m^3 per pred per day,1909,0.74,1.90E-08,1.32E-08,2.70E-08,1.89E-01,1.61E-01,2.21E-01,200,,
1910,Jeong et al 2004 AME,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis jeokjo,,Unicell,Protozoan,Dinoflagellate,,,Gyrodinium dominans,,Mean,N,0,20.0,,,,270.00,3.81E-04,Original species volume,,1.00E-06,Alternate species volume,,m^3 per pred per day,1910,0.87,4.91E-09,3.23E-09,8.45E-09,1.46E-03,1.18E-03,1.78E-03,200,,
1911,Jeong et al 2004 AME,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis jeokjo,,Unicell,Protozoan,Dinoflagellate,,,Oxyrrhis marina,,Mean,N,0,20.0,,,,270.00,3.81E-04,Original species volume,,1.70E-06,Average species volume,,m^3 per pred per day,1911,0.73,8.25E-08,3.44E-08,2.02E-07,1.97E-03,2.40E-11,7.40E-03,200,,
1912,Jeong et al. 1999 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,Unicell,Protozoan,Dinoflagellate,,,Gymnodinium sanguineum,,Mean,N,0,19.0,,,,270.00,5.60E-04,Original species volume,,2.50E-05,Original species volume,,m^3 per pred per day,1912,0.61,4.07E-06,1.17E-06,1.42E-05,6.41E-03,5.28E-03,7.59E-03,200,,
1913,Jeong et al. 1999 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,Unicell,Protozoan,Dinoflagellate,,,Cochlodinium polykrikoides,,Mean,N,0,19.0,,,,270.00,5.60E-04,Original species volume,,6.60E-06,Original species volume,,m^3 per pred per day,1913,0.81,2.82E-06,1.33E-06,8.88E-06,2.09E-03,1.54E-03,2.50E-03,200,,
1914,Jeong et al. 1999 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,Unicell,Protozoan,Dinoflagellate,,,Lingulodinium polyedrum,,Mean,N,0,19.0,,,,270.00,5.60E-04,Original species volume,,2.85E-05,Original species volume,,m^3 per pred per day,1914,0.84,8.27E-07,3.68E-07,1.18E-06,1.12E-02,8.49E-03,1.33E-02,200,,
1915,Jeong et al. 1999 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,Unicell,Protozoan,Dinoflagellate,,,Scrippsiella trochoidea,,Mean,N,0,19.0,,,,270.00,5.60E-04,Original species volume,,8.30E-06,Original species volume,,m^3 per pred per day,1915,0.58,1.83E-06,3.10E-07,4.06E-06,4.05E-03,2.88E-03,5.09E-03,200,,
1916,Jeong et al. 1999 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Strombidinopsis sp.,,Unicell,Protozoan,Dinoflagellate,,,Prorocentrum minimum,,Mean,N,0,19.0,,,,270.00,5.60E-04,Original species volume,,1.10E-06,Original species volume,,m^3 per pred per day,1916,0.72,7.54E-06,5.88E-06,9.75E-06,5.88E-04,5.48E-04,6.44E-04,200,,
1917,Frangopulos et al 2011 HARMFUL ALGAE,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Noctiluca scintillans,,Unicell,Protozoan,Dinoflagellate,,,Alexandrium minutum,,Mean,N,72,18.0,,15,,40.00,2.24E-02,Original species volume,,4.00E-06,Original species volume,,m^3 per pred per day,1917,0.90,1.22E-06,9.24E-07,1.78E-06,8.57E-04,1.60E-05,1.72E-03,200,Dark,
1918,Frangopulos et al 2011 HARMFUL ALGAE,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Noctiluca scintillans,,Unicell,Protozoan,Dinoflagellate,,,Alexandrium minutum,,Mean,N,72,18.0,,15,,40.00,2.24E-02,Original species volume,,4.00E-06,Original species volume,,m^3 per pred per day,1918,0.76,1.54E-06,1.02E-06,2.52E-06,2.66E-03,1.39E-03,4.07E-03,200,Dark/light,
1919,Kamiyama et al 2005 MAR BIOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Favella taraikaensis,,Unicell,Protozoan,Dinoflagellate,,,Alexandrium tamarense,,Raw data,N,0,18.0,,30,,25.00,2.50E-04,Alternate species volume,,1.27E-05,Original species volume,,m^3 per pred per day,1919,0.84,3.25E-06,1.99E-06,5.58E-06,1.53E-02,1.18E-02,1.93E-02,200,,
1920,Kamiyama 1997 MARBIOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Favella azorica,,Unicell,Protozoan,Dinoflagellate,,,Heterocapsa circularisquama,,Mean,N,0,20.0,,25,,25.00,1.58E-04,Alternate genus volume,,1.45E-06,Original species volume,,m^3 per pred per day,1920,0.79,6.70E-07,4.03E-07,1.65E-06,1.20E-03,7.65E-04,1.88E-03,200,,
1921,Kamiyama 1997 MARBIOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Favella azorica,,Unicell,Protozoan,Dinoflagellate,,,Heterocapsa triquetra,,Mean,N,0,20.0,,25,,25.00,1.58E-04,Alternate genus volume,,3.51E-06,Original species volume,,m^3 per pred per day,1921,0.61,8.39E-08,3.08E-08,9.51E-07,1.19E-03,2.46E-11,2.54E-03,200,,
1922,Kamiyama 1997 MARBIOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Favella taraikaensis,,Unicell,Protozoan,Dinoflagellate,,,Heterocapsa circularisquama,,Mean,N,0,20.0,,25,,25.00,2.50E-04,Alternate species volume,,1.45E-06,Original species volume,,m^3 per pred per day,1922,0.68,1.07E-06,4.92E-07,4.24E-06,1.22E-03,2.40E-11,3.42E-03,200,,
1923,Kamiyama 1997 MARBIOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Favella taraikaensis,,Unicell,Protozoan,Dinoflagellate,,,Heterocapsa triquetra,,Mean,N,0,20.0,,25,,25.00,2.50E-04,Alternate species volume,,3.51E-06,Original species volume,,m^3 per pred per day,1923,0.60,1.04E-07,2.76E-08,9.27E-07,2.98E-04,2.36E-11,3.05E-03,200,,
1924,Hewett 1980 ECOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Didinium nasutum,,Unicell,Protozoan,Ciliate,,,Paramecium aurelia,,Mean,N,0,,,1,,0.15,6.52E-04,Original species volume,,1.06E-04,Original species volume,,m^3 per pred per day,1924,0.79,1.02E-06,7.45E-07,1.52E-06,3.72E-02,3.07E-02,4.39E-02,200,,
1925,Hewett 1980 ECOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Didinium nasutum,,Unicell,Protozoan,Ciliate,,,Paramecium jenningsi,,Mean,N,0,,,1,,0.15,1.03E-03,Original species volume,,6.36E-04,Original species volume,,m^3 per pred per day,1925,0.80,1.02E-06,6.91E-07,1.73E-06,4.97E-02,4.16E-02,5.78E-02,200,,
1926,Hewett 1980 ECOL,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Didinium nasutum,,Unicell,Protozoan,Ciliate,,,Paramecium micronucleatum,,Mean,N,0,,,1,,0.15,8.92E-04,Original species volume,,1.78E-03,Original species volume,,m^3 per pred per day,1926,0.82,5.74E-07,3.81E-07,1.03E-06,5.82E-02,4.64E-02,7.37E-02,200,,
1927,Laybourn 1976 OEC,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Stentor coeruleus ,,Unicell,Protozoan,Ciliate,,,Tetrahymena pyriformis,,Mean,N,0,20.0,,1,,0.50,5.00E-03,Alternate species volume,,1.95E-05,Alternate species volume,,m^3 per pred per day,1927,0.88,1.19E-06,8.81E-07,1.67E-06,3.81E-03,2.60E-11,8.16E-03,200,,
1928,Laybourn 1976 OEC,Pred,3.00,,Aquatic,,Unicell,Protozoan,Ciliate,,Stentor coeruleus ,,Unicell,Protozoan,Ciliate,,,Tetrahymena pyriformis,,Mean,N,0,15.0,,1,,0.50,5.00E-03,Alternate species volume,,1.95E-05,Alternate species volume,,m^3 per pred per day,1928,0.89,1.03E-06,8.64E-07,1.41E-06,2.33E-03,2.48E-11,6.50E-03,200,,
1929,Rogerson 1981 HYDROBIO,Pred,3.00,,Aquatic,,Unicell,Protozoan,Sarcodine,,Amoeba proteus,,Unicell,Protozoan,Ciliate,,,Tetrahymena pyriformis,,Mean,N,0,20.0,,1,,,1.00E-03,Original species volume,,1.95E-05,Original species volume,,m^3 per pred per day,1929,0.07,3.48E-07,1.84E-07,9.64E-07,1.19E-02,8.17E-03,1.49E-02,200,,
1930,Rogerson 1981 HYDROBIO,Pred,3.00,,Aquatic,,Unicell,Protozoan,Sarcodine,,Amoeba proteus,,Unicell,Protozoan,Ciliate,,,Tetrahymena pyriformis,,Mean,N,0,15.0,,1,,,1.50E-03,Original species volume,,1.95E-05,Original species volume,,m^3 per pred per day,1930,0.15,1.80E-07,1.05E-07,3.21E-07,9.55E-03,6.10E-03,1.35E-02,200,,
1931,Rogerson 1981 HYDROBIO,Pred,3.00,,Aquatic,,Unicell,Protozoan,Sarcodine,,Amoeba proteus,,Unicell,Protozoan,Ciliate,,,Tetrahymena pyriformis,,Mean,N,0,10.0,,1,,,1.50E-03,Original species volume,,1.95E-05,Original species volume,,m^3 per pred per day,1931,0.01,7.77E-07,3.03E-07,4.26E-06,2.37E-02,1.99E-02,2.78E-02,200,,
1932,Kim and Jeong 2004 MEPS,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Gyrodinium dominans,,Unicell,Protozoan,Dinoflagellate,,,Prorocentrum minimum,,Mean,N,0,20.0,,,,80.00,1.00E-06,Original species volume,,1.10E-06,Original species volume,,m^3 per pred per day,1932,0.74,2.13E-07,1.42E-07,3.64E-07,1.27E-01,1.16E-01,1.40E-01,200,,
1933,Kim and Jeong 2004 MEPS,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Gyrodinium spirale,,Unicell,Protozoan,Dinoflagellate,,,Prorocentrum minimum,,Mean,N,0,20.0,,,,80.00,1.00E-05,Original species volume,,1.10E-06,Original species volume,,m^3 per pred per day,1933,0.88,1.23E-07,8.59E-08,1.86E-07,1.14E-02,9.67E-03,1.34E-02,200,,
1934,Jeong et al 2003 JEM,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Oxyrrhis marina,,Unicell,Protozoan,Dinoflagellate,,,Heterosigma akashiwo,,Mean,N,0,20.0,,,,270.00,1.70E-06,Average species volume,,7.47E-07,Average species volume,,m^3 per pred per day,1934,0.60,7.04E-09,1.83E-09,3.38E-08,1.07E-01,6.89E-02,1.38E-01,200,,
1935,Tillmann and Reckermann 2002 AME,Pred,3.00,,Aquatic,,Unicell,Protozoan,Dinoflagellate,,Oblea rotunda,,Unicell,Protozoan,Dinoflagellate,,,Fibrocapsa japonica,,Mean,N,0,20.0,,,,50.00,6.13E-06,Average species volume,,4.45E-06,Average species volume,,m^3 per pred per day,1935,0.90,8.18E-09,6.57E-09,1.04E-08,1.23E-01,1.07E-01,1.41E-01,200,,
1936,Sarnelle and Wilson 2008 ECOLOGY,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia pulicaria,,Unicell,Algae,Chlorophyte,,,Ankistrodesmus falcatus,,Raw data,N,2,22.0,,10,,110.00,4.13E-01,Original species length,Order,2.94E-07,Original species volume,Density,m^3 per pred per day,1936,0.72,4.38E-05,2.87E-05,6.24E-05,3.68E-06,4.99E-09,6.17E-06,200,,
1937,Nejstgaard et al. 1995 J MAR SCI,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Adult female/Stage V copepodid,Unicell,Algae,Haptophyte,,,Emiliania huxleyi,,Raw data,N,,13.0,,5,,510.00,9.05E-04,Original species length,Order,2.27E-07,Alternate species length,Density,m^3 per pred per day,1937,0.85,5.21E-05,3.52E-05,6.70E-05,2.49E-07,1.79E-07,3.44E-07,200,,
1938,Nejstgaard et al. 1995 J MAR SCI,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Adult female/Stage V copepodid,Unicell,Algae,Cryptophyte,,,Rhodomonas baltica,,Raw data,N,,13.0,,5,,510.00,9.05E-04,Original species length,Order,9.31E-07,Alternate species length,Density,m^3 per pred per day,1938,0.63,1.32E-04,9.40E-05,1.87E-04,1.04E-06,8.44E-07,1.21E-06,200,,
1939,Geange and Stier 2010 CORAL REEFS,Pred,2.00,,Aquatic,,Metazoan,Invertebrate,Mollusk,,Gymnodoris ceylonica,,Metazoan,Invertebrate,Mollusk,Gastropod,Sea hare,Stylocheilus striatus,,Raw data,N,72,,,1,361.00,3249.00,6.22E+03,Original species length,Class,4.80E+03,Original species length,Class,m^2 per pred per day,1939,0.48,1.06E-01,7.14E-02,2.93E-01,2.15E-01,1.52E-01,2.67E-01,200,,
1940,Paulsson thesis,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia magna,,Unicell,Algae,Chlorophyte,,,Monoraphidium minutum,,Raw data,N,48,23.0,,5,,67.00,7.91E-01,Average species mass,,2.31E-08,Original species length,Density,m^3 per pred per day,1940,0.96,9.32E-07,6.15E-07,1.30E-06,1.13E-05,5.30E-06,2.57E-05,200,,
1941,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage I,Unicell,Algae,Diatom,,,Thalassiosira nordenskioeldii,,Raw data,N,,,,,,550.00,5.55E-02,Original species length,Order,1.68E-05,Alternate species length,Density,m^3 per pred per day,1941,0.29,1.56E-05,5.60E-06,3.64E-05,3.33E-03,1.59E-03,4.68E-03,200,,
1942,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage II,Unicell,Algae,Diatom,,,Thalassiosira nordenskioeldii,,Raw data,N,,,,,,550.00,8.57E-02,Original species length,Order,1.68E-05,Alternate species length,Density,m^3 per pred per day,1942,0.20,8.78E-05,3.27E-05,5.13E-04,1.32E-03,8.88E-04,1.69E-03,200,,
1943,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage II,Unicell,Algae,Diatom,,,Porosira glacialis,,Raw data,N,,,,,,550.00,8.57E-02,Original species length,Order,6.73E-05,Alternate species length,Density,m^3 per pred per day,1943,0.49,3.24E-06,1.18E-06,1.21E-05,1.30E-02,5.77E-03,2.05E-02,200,,
1944,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage II,Unicell,Algae,Haptophyte,,,Phaeocystis pouchetii,,Raw data,N,,,,,,550.00,8.57E-02,Original species length,Order,2.51E-04,Average species mass,,m^3 per pred per day,1944,0.23,3.50E-06,1.20E-06,2.61E-05,3.69E-04,1.96E-04,5.53E-04,200,,
1945,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage III,Unicell,Algae,Diatom,,,Thalassiosira nordenskioeldii,,Raw data,N,,,,,,550.00,2.06E-01,Original species length,Order,1.68E-05,Alternate species length,Density,m^3 per pred per day,1945,0.56,4.65E-05,2.49E-05,1.21E-04,4.70E-04,3.31E-04,6.71E-04,200,,
1946,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage III,Unicell,Algae,Diatom,,,Porosira glacialis,,Raw data,N,,,,,,550.00,2.06E-01,Original species length,Order,6.73E-05,Alternate species length,Density,m^3 per pred per day,1946,0.74,4.84E-06,2.83E-06,8.45E-06,1.12E-03,2.48E-11,2.88E-03,200,,
1947,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage III,Unicell,Algae,Haptophyte,,,Phaeocystis pouchetii,,Raw data,N,,,,,,550.00,2.06E-01,Original species length,Order,2.51E-04,Average species mass,,m^3 per pred per day,1947,0.17,4.34E-06,1.23E-06,1.49E-05,1.38E-04,9.67E-06,2.16E-04,200,,
1948,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage IV,Unicell,Algae,Diatom,,,Thalassiosira nordenskioeldii,,Raw data,N,,,,,,550.00,4.58E-01,Original species length,Order,1.68E-05,Alternate species length,Density,m^3 per pred per day,1948,0.42,2.55E-05,1.08E-05,5.59E-05,3.03E-04,2.44E-11,4.79E-04,200,,
1949,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage IV,Unicell,Algae,Diatom,,,Porosira glacialis,,Raw data,N,,,,,,550.00,4.58E-01,Original species length,Order,6.73E-05,Alternate species length,Density,m^3 per pred per day,1949,0.41,2.01E-05,7.65E-06,4.64E-05,1.88E-03,6.74E-04,2.67E-03,200,,
1950,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage IV,Unicell,Algae,Haptophyte,,,Phaeocystis pouchetii,,Raw data,N,,,,,,550.00,4.58E-01,Original species length,Order,2.51E-04,Average species mass,,m^3 per pred per day,1950,0.15,1.83E-05,4.15E-06,1.37E-04,8.03E-05,3.57E-05,1.05E-04,200,,
1951,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage V,Unicell,Algae,Diatom,,,Thalassiosira nordenskioeldii,,Raw data,N,,,,,,550.00,8.93E-01,Original species length,Order,1.68E-05,Alternate species length,Density,m^3 per pred per day,1951,0.42,6.17E-05,2.89E-05,2.97E-04,5.11E-04,1.93E-04,6.82E-04,200,,
1952,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage V,Unicell,Algae,Diatom,,,Porosira glacialis,,Raw data,N,,,,,,550.00,8.93E-01,Original species length,Order,6.73E-05,Alternate species length,Density,m^3 per pred per day,1952,0.06,2.27E-05,9.59E-06,1.53E-04,2.68E-03,8.39E-04,4.57E-03,200,,
1953,Hansen et al 1990 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Calanus finmarchicus,Stage V,Unicell,Algae,Haptophyte,,,Phaeocystis pouchetii,,Raw data,N,,,,,,550.00,8.93E-01,Original species length,Order,2.51E-04,Average species mass,,m^3 per pred per day,1953,0.12,7.55E-06,3.60E-06,5.92E-05,1.51E-05,1.23E-12,4.29E-05,200,,
1954,Isari and Saiz 2011 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Clausocalanus lividus,Adult female,Unicell,Protozoan,Dinoflagellate,,,Oxyrrhis marina,,Mean,N,,16.0,,8,,625.00,6.48E-02,Original species length,Order,2.69E-06,Original species length,Density,m^3 per pred per day,1954,0.76,1.37E-04,8.62E-05,2.36E-04,2.68E-05,2.32E-05,3.17E-05,200,,
1955,Isari and Saiz 2011 J PLANK RES,Pred,3.00,,Aquatic,,Metazoan,Invertebrate,Crustacean,Copepod,Clausocalanus lividus,Adult female,Unicell,Protozoan,Ciliate,,,Strombidium sulcatum,,Mean,N,,16.0,,8,,625.00,6.12E-02,Original species length,Order,1.16E-05,Original species length,Density,m^3 per pred per day,1955,0.95,1.10E-05,8.58E-06,2.12E-05,1.34E-03,4.12E-05,3.01E-03,200,,
