"taxon","kingdom","phylum","class","order","family","taxon_provided","species_changed","taxonomy_source","genus","species","gbif_confidence","gbif_status","gbif_family","gbif_order","gbif_usageKey"
"Gonatus_onyx","Animalia","Mollusca","Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx",FALSE,"GBIF","Gonatus","Gonatus onyx",99,"ACCEPTED","Gonatidae","Oegopsida","2290071"
"Gonionotophis_egbensis","Animalia","Chordata","Squamata","Squamata","Lamprophiidae","Gonionotophis egbensis",TRUE,"GBIF","Mehelya","Mehelya egbensis",98,"SYNONYM","Lamprophiidae",NA,"7850173"
"Grapsus_adscensionis","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","Grapsus adscensionis",FALSE,"GBIF","Grapsus","Grapsus adscensionis",99,"ACCEPTED","Grapsidae","Decapoda","4382864"
"Halichoeres_pictus","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres pictus",FALSE,"GBIF","Halichoeres","Halichoeres pictus",99,"ACCEPTED","Labridae","Perciformes","2384071"
"Helicoverpa_armigera","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Helicoverpa armigera",FALSE,"GBIF","Helicoverpa","Helicoverpa armigera",99,"ACCEPTED","Noctuidae","Lepidoptera","8108800"
"Helicoverpa_zea","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Helicoverpa zea",FALSE,"GBIF","Helicoverpa","Helicoverpa zea",99,"ACCEPTED","Noctuidae","Lepidoptera","1792564"
"Heliothis_virescens","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Heliothis virescens",FALSE,"GBIF","Heliothis","Heliothis virescens",99,"ACCEPTED","Noctuidae","Lepidoptera","7762812"
"Helius_waiti","Animalia","Arthropoda","Insecta","Diptera","Limoniidae","Helius waiti",FALSE,NA,"Helius",NA,92,"ACCEPTED","Limoniidae","Diptera","1516419"
"Hemichromis_bimaculatus","Animalia","Chordata",NA,"Perciformes","Cichlidae","Hemichromis bimaculatus",FALSE,"GBIF","Hemichromis","Hemichromis bimaculatus",99,"ACCEPTED","Cichlidae","Perciformes","2371368"
"Hierophis_cypriensis","Animalia","Chordata","Squamata","Squamata","Colubridae","Hierophis cypriensis",FALSE,"GBIF","Hierophis","Hierophis cypriensis",99,"ACCEPTED","Colubridae",NA,"2457223"
"Hippolyte_pleuracantha","Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Hippolyte pleuracantha",FALSE,"GBIF","Hippolyte","Hippolyte pleuracantha",99,"ACCEPTED","Hippolytidae","Decapoda","5178670"
"Homalopsis_nigroventralis","Animalia","Chordata","Squamata","Squamata","Homalopsidae","Homalopsis nigroventralis",FALSE,"GBIF","Homalopsis","Homalopsis nigroventralis",99,"ACCEPTED","Homalopsidae",NA,"8134078"
"Hyas_coarctatus","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Hyas coarctatus",FALSE,"GBIF","Hyas","Hyas coarctatus",99,"ACCEPTED","Oregoniidae","Decapoda","2226649"
"Hyperoche_medusarum","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperoche medusarum",FALSE,"GBIF","Hyperoche","Hyperoche medusarum",99,"ACCEPTED","Hyperiidae","Amphipoda","2216494"
"Hypselobarbus_thomassi","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","Hypselobarbus thomassi",FALSE,"GBIF","Hypselobarbus","Hypselobarbus thomassi",99,"ACCEPTED","Cyprinidae","Cypriniformes","2366508"
"Hypsiboas_faber","Animalia","Chordata","Amphibia","Anura","Hylidae","Hypsiboas faber",TRUE,"GBIF","Boana","Boana faber",98,"SYNONYM","Hylidae","Anura","2428760"
"Hypsiboas_rosenbergi","Animalia","Chordata","Amphibia","Anura","Hylidae","Hypsiboas rosenbergi",TRUE,"GBIF","Boana","Boana rosenbergi",98,"SYNONYM","Hylidae","Anura","2428725"
"Hypsopsetta_guttulata","Animalia","Chordata",NA,"Pleuronectiformes","Pleuronectidae","Hypsopsetta guttulata",FALSE,"GBIF","Hypsopsetta","Hypsopsetta guttulata",99,"ACCEPTED","Pleuronectidae","Pleuronectiformes","2409085"
"Ischnochiton_striolatus","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Ischnochiton striolatus",FALSE,"GBIF","Ischnochiton","Ischnochiton striolatus",99,"ACCEPTED","Ischnochitonidae","Chitonida","2306564"
"Ischnocnema_parva","Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Ischnocnema parva",FALSE,"GBIF","Ischnocnema","Ischnocnema parva",99,"ACCEPTED","Brachycephalidae","Anura","2424879"
"Jordania_zonope","Animalia","Chordata",NA,"Scorpaeniformes","Cottidae","Jordania zonope",FALSE,"GBIF","Jordania","Jordania zonope",99,"ACCEPTED","Cottidae","Scorpaeniformes","2333884"
