Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Pontellidae,Labidocera acuta,,9.6460,9.0,0.00117,24,0.000233,80,,Ikeda et al. 2001,0.00117
I,Copepoda,Pontellidae,Labidocera acuta,,11.3533,16.056,0.00099,30,0.00017,82.8,,Ikeda 1970,0.00099
I,Copepoda,Pontellidae,Labidocera detruncata,MIN,34.8814,42.944,0.00093,28,0.00015,83.9,,Ikeda 1970,0.00093
I,Copepoda,Pontellidae,Labidocera jollae,MIN,3.7538,2.156,0.042,17,0.00645,84.5,,Childress 1975,0.042
I,Copepoda,Pontellidae,Labidocera jollae,,3.8414,2.7163,0.0416,20,,,,Childress 1975,0.0416
I,Copepoda,Pontellidae,Labidocera sp.,MIN,12.8849,18.222,0.00082,30,0.00018,78,,Ikeda 1970,0.00082
I,Copepoda,Scolecithricidae,Landrumius gigas,,1.136,0.284,0.0309,5,,,,Thuesen et al. 1998,0.0309
I,Copepoda,Lucicitiidae,Lucicutia bicornuta,MIN,0.548,0.137,0.0105,5,,,,Thuesen et al. 1998,0.0105
I,Copepoda,Lucicitiidae,Lucicutia flavicornis,MIN,8.085,5.717,0.000129,20,,,,Pavlova 1975,0.000129
I,Copepoda,Lucicitiidae,Lucicutia maxima,MIN,0.696,0.174,0.0118,5,,,,Thuesen et al. 1998,0.0118
I,Copepoda,Lucicitiidae,Lucicutia maxima,,0.749,0.147,0.0147,1.5,,,,Thuesen et al. 1998,0.0147
I,Copepoda,Lucicitiidae,Lucicutia maxima,,0.973,0.344,0.0104,10,,,,Thuesen et al. 1998,0.0104
I,Copepoda,Megacalanidae,Megacalanus princeps,MIN,0.820,0.205,0.0556,5,,,,Thuesen et al. 1998,0.0556
I,Copepoda,Megacalanidae,Megacalanus sp.,,A,MIN,0.880,0.220,0.0349,5,,Thuesen et al. 1998,0.880
I,Copepoda,Megacalanidae,Megacalanus sp.,,A,0.744,0.186,0.0345,5,,,Thuesen et al. 1998,0.186
