Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
III,Decapoda,Ocypodidae,Ocypode platytarsis,,1.3620,0.9631,3,20,,,,Veerannan 1974,3
III,Decapoda,Ocypodidae,Ocypode platytarsis,,1.6542,1.1697,2,20,,,,Veerannan 1974,2
III,Decapoda,Ocypodidae,Ocypode platytarsis,,1.7603,2.022,3.58,27,,,,Veerannan 1974,3.58
III,Decapoda,Ocypodidae,Ocypode platytarsis,,2.2691,1.6045,1,20,,,,Veerannan 1974,1
III,Decapoda,Ocypodidae,Ocypode platytarsis,,3.1735,2.2440,0.5,20,,,,Veerannan 1974,0.5
III,Decapoda,Ocypodidae,Ocypode quadrata,MIN,0.4131,0.2921,70.9,20,,,,Full 1987,70.9
III,Decapoda,Ocypodidae,Ocypode quadrata,,0.7084,0.5009,26.9,20,,,,Full 1987,26.9
III,Decapoda,Ocypodidae,Ocypode quadrata,,0.8690,0.8108,33.3,24,,,,Full 1987,33.3
III,Decapoda,Ocypodidae,Ocypode quadrata,,1.4771,1.0445,2.1,20,,,,Full 1987,2.1
III,Decapoda,Oplophoridae,Oplophorus gracilorostris,MIN,3.7335,1.32,2.58,10,,,,Cowles et al. 1991,2.58
III,Decapoda,Oplophoridae,Oplophorus gracilorostris,,4.0871,2.89,2.58,20,,,,Cowles et al. 1991,2.58
III,Decapoda,Oplophoridae,Oplophorus gracilorostris,,6.5200,1.63,2.58,5,,,,Cowles et al. 1991,2.58
III,Decapoda,Oplophoridae,Oplophorus spinosus,MIN,1.7876,0.632,2.92,10,,,,Cowles et al. 1991,2.92
III,Decapoda,Oplophoridae,Oplophorus spinosus,,4.1295,2.92,2.92,20,,,,Cowles et al. 1991,2.92
III,Decapoda,Oplophoridae,Oplophorus spinosus,,4.2000,1.05,2.92,5,,,,Cowles et al. 1991,2.92
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,MIN,0.5791,0.4095,14.7,20,,,,Abolmasova 1970,14.7
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,0.6817,0.482,5.3,20,,,,Ivlev & Sutschenya 1961,5.3
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,0.6913,0.4888,7.77,20,,,,Abolmasova 1970,7.77
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,0.6995,0.4946,0.152,20,,,,Ivlev & Sutschenya 1961,0.152
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,0.7623,0.5390,5.09,20,,,,Abolmasova 1970,5.09
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,0.8573,0.6062,3.23,20,,,,Abolmasova 1970,3.23
III,Decapoda,Grapsidae,Pachygrapsus marmoratus,,1.1936,0.844,4.4,20,,,,Ivlev & Sutschenya 1961,4.4
III,Decapoda,Palaemonidae,Palaemon adspersus,MIN,1.5322,1.0834,3.2,20,,,,Romanova & Khmeleva 1978,3.2
III,Decapoda,Palaemonidae,Palaemon adspersus,,1.6787,1.1870,3.28,20,,,,Romanova & Khmeleva 1978,3.28
III,Decapoda,Palaemonidae,Palaemon adspersus,,3.4019,2.4055,0.132,20,,,,Romanova & Khmeleva 1978,0.132
III,Decapoda,Palaemonidae,Palaemon adspersus,,3.5702,2.5245,0.1,20,,,,Romanova & Khmeleva 1978,0.1
III,Decapoda,Pandalidae,Pandalopsis ampla,MIN,0.2994,0.089,9.55,7.5,,,,Childress et al. 1990,9.55
III,Decapoda,Pandalidae,Pandalopsis ampla,,0.5054,0.11,5.96,3,,,,Childress et al. 1990,5.96
III,Decapoda,Pandalidae,Pandalus jordani,MIN,0.6800,0.34,12.80,15,,,,Childress et al. 1990,12.80
III,Decapoda,Pandalidae,Pandalus jordani,,0.9617,0.34,12.67,10,,,,Childress et al. 1990,12.67
III,Decapoda,Pandalidae,Pandalus jordani,,1.0000,0.25,12.08,5,,,,Childress et al. 1990,12.08
III,Decapoda,Pandalidae,Pandalus platyceros,MIN,0.8200,0.41,32.26,15,,,,Childress et al. 1990,32.26
III,Decapoda,Pandalidae,Pandalus platyceros,,0.9200,0.23,25.40,5,,,,Childress et al. 1990,25.40
III,Decapoda,Pandalidae,Pandalus platyceros,,0.9334,0.33,40.89,10,,,,Childress et al. 1990,40.89
III,Decapoda,Xanthidae,Panopeus herbstii,MIN,0.4110,0.2906,10,20,,,,Leffler 1973,10
III,Decapoda,Xanthidae,Panopeus herbstii,,0.5483,0.3877,1,20,,,,Leffler 1973,1
III,Decapoda,Lithodidae,Paralomis multispina,MIN,0.3079,0.067,7.64,3,,,,Childress et al. 1990,7.64
III,Decapoda,Parathelphusidae,Parathelphusa hydrodromus,MIN,0.3079,0.2177,10,20,,,,Kotaiah & Rajabai 1972,10
III,Decapoda,Parathelphusidae,Parathelphusa hydrodromus,,0.3610,0.2553,10,20,,,,Kotaiah & Rajabai 1972,10
III,Decapoda,Pasiphaeidae,Pasiphaea chacei,MIN,1.4194,0.422,1.73,7.5,0.353,0.101,79.5,Childress 1975,1.73
III,Decapoda,Pasiphaeidae,Pasiphaea chacei,,2.4117,0.717,1.73,7.5,0.353,0.101,79.5,Childress 1975,1.73
III,Decapoda,Pasiphaeidae,Pasiphaea emarginata,MIN,0.2705,0.07,11.07,5.5,2.58,0.077,76.7,Childress 1975,11.07
III,Decapoda,Pasiphaeidae,Pasiphaea emarginata,,2.7819,0.72,11.07,5.5,2.58,0.077,76.7,Childress 1975,11.07
III,Decapoda,Pasiphaeidae,Pasiphaea pacifica,MIN,1.3791,0.41,1.91,7.5,0.37,80.4,,Childress 1975,1.91
III,Decapoda,Pasiphaeidae,Pasiphaea pacifica,,1.8163,0.54,1.91,7.5,0.37,80.4,,Childress 1975,1.91
III,Decapoda,Pasiphaeidae,Pasiphaea scotiae,MIN,1.3297,0.24,0.61,0.3,0.19591,0.062,68.0,Ikeda 1988,0.61
III,Decapoda,Pasiphaeidae,Pasiphaea scotiae,,1.3390,0.24,1.26,0.2,0.40320,0.052,68.0,Ikeda 1988,1.26
III,Decapoda,Penaidae,Penaeus sp.,MIN,3.0088,1.239,0.103,12.2,0.01558,84.9,,Ikeda 1970,0.103
III,Decapoda,Pandalidae,Plesionika sp.,MIN,2.0478,0.53,1.92,5.5,0.43,0.099,77.7,Childress 1975,1.92
III,Decapoda,Pandalidae,Plesionika sp.,,4.1342,1.07,1.92,5.5,0.43,0.099,77.7,Childress 1975,1.92
III,Decapoda,Galatheidae,Pleuroncodes planipes,MIN,1.1200,0.56,1.9,15,0.47,0.065,75.4,Childress 1975,1.9
III,Decapoda,Crangonidae,Sabinea septemcarinata,MIN,1.0748,0.19,4.1,0,,,,Schmid 1996,4.1
III,Decapoda,Crangonidae,Sclerocrangon ferox,MIN,0.3790,0.067,13,0,,,,Schmid 1996,13
III,Decapoda,Scyllaridae,Scylla serrata,MIN,1.0711,0.7574,10,20,,,,Veerannan 1972,10
III,Decapoda,Scyllaridae,Scylla serrata,,1.3964,0.9874,5,20,,,,Veerannan 1972,5
III,Decapoda,Scyllaridae,Scylla serrata,,1.6636,1.911,3.58,27,,,,Veerannan 1974,3.58
III,Decapoda,Scyllaridae,Scylla serrata,,1.6661,1.1781,3,20,,,,Veerannan 1972,3
III,Decapoda,Scyllaridae,Scylla serrata,,1.9041,1.3464,2,20,,,,Veerannan 1972,2
III,Decapoda,Scyllaridae,Scylla serrata,,1.9332,1.367,3.58,20,,,,Veerannan 1972,3.58
III,Decapoda,Scyllaridae,Scylla serrata,,2.5230,1.7840,1,20,,,,Veerannan 1972,1
III,Decapoda,Scyllaridae,Scylla serrata,,3.1577,2.2328,0.5,20,,,,Veerannan 1972,0.5
III,Decapoda,Sergestidae,Sergestes bisulcatus,MIN,1.2800,0.32,2.54,5,,,,Cowles et al. 1991,2.54
III,Decapoda,Sergestidae,Sergestes bisulcatus,,1.3011,0.92,2.54,20,,,,Cowles et al. 1991,2.54
III,Decapoda,Sergestidae,Sergestes bisulcatus,,1.6405,0.58,2.54,10,,,,Cowles et al. 1991,2.54
III,Decapoda,Sergestidae,Sergestes fulgens,MIN,1.8800,0.47,1.06,5,,,,Cowles et al. 1991,1.06
III,Decapoda,Sergestidae,Sergestes fulgens,,2.4042,0.85,1.06,10,,,,Cowles et al. 1991,1.06
III,Decapoda,Sergestidae,Sergestes fulgens,,3.5355,2.5,1.06,20,,,,Cowles et al. 1991,1.06
III,Decapoda,Sergestidae,Sergestes phorcus,MIN,0.4868,0.126,3.951,5.5,0.89,0.103,77.5,Childress 1975,3.951
III,Decapoda,Sergestidae,Sergestes phorcus,,1.5880,0.411,3.951,5.5,0.89,0.103,77.5,Childress 1975,3.951
III,Decapoda,Sergestidae,Sergestes similis,MIN,1.3633,0.482,0.57,10,0.133,0.110,76.6,Childress 1975,0.57
III,Decapoda,Sergestidae,Sergestes similis,,4.5255,1.60,0.57,10,0.133,0.110,76.6,Childress 1975,0.57
III,Decapoda,Sergestidae,Sergestes tenuiremis,MIN,0.7600,0.19,2.61,5,,,,Cowles et al. 1991,2.61
III,Decapoda,Sergestidae,Sergestes tenuiremis,,0.8344,0.59,2.61,20,,,,Cowles et al. 1991,2.61
III,Decapoda,Sergestidae,Sergestes tenuiremis,,1.4142,0.50,2.61,10,,,,Cowles et al. 1991,2.61
III,Decapoda,Grapsidae,Sesarma quadratus,MIN,1.1821,0.8359,5,20,,,,Veerannan 1974,5
III,Decapoda,Grapsidae,Sesarma quadratus,,1.4810,1.0472,3,20,,,,Veerannan 1974,3
III,Decapoda,Grapsidae,Sesarma quadratus,,1.7731,1.2538,2,20,,,,Veerannan 1974,2
III,Decapoda,Grapsidae,Sesarma quadratus,,2.3880,1.6886,1,20,,,,Veerannan 1974,1
III,Decapoda,Grapsidae,Sesarma quadratus,,3.3163,2.3450,0.5,20,,,,Veerannan 1974,0.5
III,Decapoda,Sicyoniidae,Sicyonia igentis,MIN,0.6788,0.24,19.26,10,,,,Childress et al. 1990,19.26
III,Decapoda,Sicyoniidae,Sicyonia igentis,,1.3000,0.65,19.03,15,,,,Childress et al. 1990,19.03
III,Decapoda,Polychelidae,Stereomastis sculpta,MIN,0.1189,0.025,16.76,2.5,,,,Childress et al. 1990,16.76
III,Decapoda,Grapsidae,Systellaspis cristata,MIN,0.3130,0.081,1.39,5.5,0.378,0.065,72.8,Childress 1975,1.39
III,Decapoda,Grapsidae,Systellaspis cristata,,3.0485,0.789,1.39,5.5,0.378,0.065,72.8,Childress 1975,1.39
III,Decapoda,Oplophoridae,Systellaspis debilis,MIN,1.2000,0.30,1.22,5,,,,Cowles et al. 1991,1.22
III,Decapoda,Oplophoridae,Systellaspis debilis,,1.3718,0.97,1.22,20,,,,Cowles et al. 1991,1.22
III,Decapoda,Oplophoridae,Systellaspis debilis,,1.5274,0.54,1.22,10,,,,Cowles et al. 1991,1.22
III,Decapoda,Ocypodidae,Uca leptodactyla,MIN,0.5319,0.3761,0.27,20,,,,Vernberg 1959,0.27
III,Decapoda,Ocypodidae,Uca minax,MIN,0.2703,0.1911,6.37,20,,,,Vernberg 1959,6.37
III,Decapoda,Ocypodidae,Uca mordax,MIN,0.4766,0.3370,2.58,20,,,,Vernberg 1959,2.58
III,Decapoda,Ocypodidae,Uca pugnas,MIN,0.2516,0.1779,2.21,20,,,,Silverthorn 1975,2.21
III,Decapoda,Ocypodidae,Uca pugnas,,0.3240,0.2291,2.26,20,,,,Silverthorn 1975,2.26
III,Decapoda,Ocypodidae,Uca pugnas,,0.4134,0.2923,2.61,20,,,,Silverthorn 1975,2.61
III,Decapoda,Ocypodidae,Uca pugnas,,0.4284,0.3029,3,20,,,,Vernberg 1959,3
III,Decapoda,Ocypodidae,Uca pugnas,,0.4718,0.3336,2.27,20,Silverthorn,,,,2.27
III,Decapoda,Ocypodidae,Uca rapax,MIN,0.5234,0.3701,3.85,20,,,,Vernberg 1959,3.85
III,Decapoda,Ocypodidae,Uca rapax,,0.5951,0.4208,2.48,20,,,,Vernberg 1959,2.48
III,Decapoda,Ocypodidae,Uca thayeri,MIN,0.3651,0.2582,4.65,20,,,,Vernberg 1959,4.65
III,Decapoda,Xanthidae,Xantho hydrophilus,MIN,0.3294,0.2329,8.31,20,,,,Abolmasova 1969,8.31
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.3462,0.2448,16.52,20,,,,Abolmasova 1969,16.52
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.3953,0.2795,5.8,20,,,,Abolmasova 1969,5.8
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.3956,0.2797,13.7,20,,,,Abolmasova 1969,13.7
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.4121,0.2914,11.3,20,,,,Abolmasova 1969,11.3
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.4837,0.3420,6.2,20,,,,Abolmasova 1969,6.2
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.4871,0.3444,4.61,20,,,,Abolmasova 1969,4.61
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.5030,0.3557,3.06,20,,,,Abolmasova 1969,3.06
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.5268,0.3725,2.5,20,,,,Abolmasova 1969,2.5
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.5432,0.3841,3.9,20,,,,Abolmasova 1969,3.9
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.6107,0.4318,1.91,20,,,,Abolmasova 1969,1.91
III,Decapoda,Xanthidae,Xantho hydrophilus,,0.7662,0.5418,0.906,20,,,,Abolmasova 1969,0.906
IV,Cephalopoda,Octopodidae,Bathypolypus articus,MIN,1.4625,0.2340,3.0,5,,,,Seibel 2007,3.0
IV,Cephalopoda,Cranchidae,Cranchia scabra,MIN,0.2256,0.0361,35.39,5,,,,Seibel 2007,35.39
IV,Cephalopoda,Ommastrephidae,Dosidicus gigas,MIN,2.7225,0.4356,12200,5,,,,Seibel 2007,12200
IV,Cephalopoda,Octopodidae,Eledone cirrhosa,MIN,0.9100,0.1456,150,5,,,,Seibel 2007,150
IV,Cephalopoda,Bolitaenidae,Eledonella pygmaea,MIN,0.0388,0.0062,20.2,5,,,,Seibel 2007,20.2
IV,Cephalopoda,Cranchidae,Galiteuthis phyllura,MIN,0.4744,0.0759,5.19,5,,,,Seibel 2007,5.19
IV,Cephalopoda,Gonatidae,Gonatus onyx,MIN,1.9525,0.3124,0.117,5,,,,Seibel 2007,0.117
IV,Cephalopoda,Gonatidae,Gonatus pyros,MIN,2.4513,0.3922,3.840,5,,,,Seibel 2007,3.840
IV,Cephalopoda,Cranchidae,Helicocranchia pfeferi,MIN,0.3188,0.0510,3.60,5,,,,Seibel 2007,3.60
IV,Cephalopoda,Histioteuthidae,Histioteuthis heteropsis,MIN,0.3500,0.0560,36.98,5,,,,Seibel 2007,36.98
IV,Cephalopoda,Histioteuthidae,Histioteuthis hoylei,MIN,0.8813,0.1410,8.51,5,,,,Seibel 2007,8.51
IV,Cephalopoda,Ommastrephidae,Illex illecebrosus,MIN,3.1113,0.4978,443,5,,,,Seibel 2007,443
IV,Cephalopoda,Bolitaenidae,Japetella diaphana,MIN,0.0313,0.0050,242.17,5,,,,Seibel 2007,242.17
IV,Cephalopoda,Bolitaenidae,Japetella heathi,MIN,0.0231,0.0037,162.50,5,,,,Seibel 2007,162.50
IV,Cephalopoda,Cranchidae,Liocranchia pacificus,MIN,0.1869,0.0299,2.12,5,,,,Seibel 2007,2.12
IV,Cephalopoda,Cranchidae,Liocranchia valdivia,MIN,0.2100,0.0336,21.28,5,,,,Seibel 2007,21.28
IV,Cephalopoda,Loliginidae,Loligo forbesi,MIN,3.2513,0.5202,937,5,,,,Seibel 2007,937
IV,Cephalopoda,Loliginidae,Loligo opalescens,MIN,4.3013,0.6882,30.0,5,,,,Seibel 2007,30.0
IV,Cephalopoda,Loliginidae,Loligo pealei,MIN,5.9888,0.9582,100,5,,,,Seibel 2007,100
IV,Cephalopoda,Loliginidae,Lolliguncula brevis,MIN,3.0025,0.4804,41.10,5,,,,Seibel 2007,41.10
IV,Cephalopoda,Cranchidae,Megalocranchia sp.,MIN,0.3031,0.0485,47.9,5,,,,Seibel 2007,47.9
IV,Cephalopoda,Octopodidae,Octopus bimaculoides,MIN,0.4431,0.0709,360,5,,,,Seibel 2007,360
IV,Cephalopoda,Octopodidae,Octopus briareus,MIN,0.5081,0.0813,345.5,5,,,,Seibel 2007,345.5
IV,Cephalopoda,Octopodidae,Octopus californicus,MIN,0.3031,0.0485,330,5,,,,Seibel 2007,330
IV,Cephalopoda,Octopodidae,Octopus cyanea,MIN,0.7700,0.1232,1150,5,,,,Seibel 2007,1150
IV,Cephalopoda,Octopodidae,Octopus dofleini,MIN,0.2331,0.0373,8200,5,,,,Seibel 2007,8200
IV,Cephalopoda,Octopodidae,Octopus maya,MIN,1.9056,0.3049,45.1,5,,,,Seibel 2007,45.1
IV,Cephalopoda,Octopodidae,Octopus micropyrsus,MIN,1.2831,0.2053,4.65,5,,,,Seibel 2007,4.65
IV,Cephalopoda,Octopodidae,Octopus rubescens,MIN,5.7556,0.9209,0.096,5,,,,Seibel 2007,0.096
IV,Cephalopoda,Octopodidae,Octopus sp.,MIN,15.8275,2.5324,0.0068,5,,,,Seibel 2007,0.0068
IV,Cephalopoda,Octopodidae,Octopus sp.,MIN,10.4225,1.6676,0.0012,5,,,,Seibel 2007,0.0012
IV,Cephalopoda,Octopodidae,Octopus tuberculata,MIN,3.2431,0.5189,1.21,5,,,,Seibel 2007,1.21
IV,Cephalopoda,Octopodidae,Octopus vulgaris,MIN,0.2956,0.0473,2160,5,,,,Seibel 2007,2160
IV,Cephalopoda,Octopodidae,Paraledone characoti,MIN,0.3500,0.0560,136.7,5,,,,Seibel 2007,136.7
IV,Cephalopoda,Loliginidae,Sepioteuthis lessoniana,MIN,2.2325,0.3572,68.5,5,,,,Seibel 2007,68.5
IV,Cephalopoda,Ommastrephidae,Sthenoteuthis oualaniensis,MIN,1.8744,0.2999,750,5,,,,Seibel 2007,750
IV,Cephalopoda,Ommastrephidae,Sthenoteuthis pteropus,MIN,2.2556,0.3609,1300,5,,,,Seibel 2007,1300
IV,Cephalopoda,Vampyroteuthidae,Vampyroteuthis infernalis,MIN,0.0194,0.0031,1050.0,5,,,,Seibel 2007,1050.0
V,Medusae,Aeginidae,Aegina citrea,MIN,0.644,0.023,1.9,5,,,,Thuesen & Childress 1994,1.9
V,Medusae,Rhopalonematidae,Aglantha digitale,MIN,1.89,0.051,0.25,1.1,0.014,0.043,94.7,Ikeda & Skjoldal 1982,0.25
V,Medusae,Atolliidae,Atolla vanhoeffeni,MIN,0.7,0.025,0.60,5,,,,Thuesen & Childress 1994,0.60
V,Medusae,Atolliidae,Atolla wyvillei,MIN,0.476,0.017,1.94,5,,,,Thuesen & Childress 1994,1.94
V,Medusae,Halicreatidae,Botrynema brucei,MIN,0.476,0.017,1.33,5,,,,Thuesen & Childress 1994,1.33
V,Medusae,Rhopalonematidae,Colobenema sericeum,MIN,0.308,0.011,4.2,5,,,,Thuesen & Childress 1994,4.2
V,Medusae,Rhopalonematidae,Crossota alba,MIN,1.148,0.041,0.53,5,,,,Thuesen & Childress 1994,0.53
V,Medusae,Rhopalonematidae,Crossota rufobrunnea,MIN,0.532,0.019,0.26,5,,,,Thuesen & Childress 1994,0.26
V,Medusae,Rhopalonematidae,Crossota sp.,,A,MIN,0.588,0.021,0.14,5,,Thuesen & Childress 1994,0.588
V,Medusae,Eirenidae,Eirene mollis,MIN,1.358,0.097,0.22,15,,,,Thuesen & Childress 1994,0.22
V,Medusae,Halicreatidae,Haliscera bigelowi,MIN,0.448,0.016,0.47,5,,,,Thuesen & Childress 1994,0.47
V,Medusae,Halicreatidae,Halitrehees maasi,MIN,0.1596,0.0057,19,5,,,,Thuesen & Childress 1994,19
V,Medusae,Pandeidae,Leukartiara octona,MIN,1.428,0.051,0.15,5,,,,Thuesen & Childress 1994,0.15
V,Medusae,Nausithoidae,Nausithoë rubra,MIN,0.756,0.027,2.6,5,,,,Thuesen & Childress 1994,2.6
V,Medusae,Rhopalonematidae,Pantachogon sp.,,A,MIN,0.896,0.032,0.51,5,,Thuesen & Childress 1994,0.896
V,Medusae,Peryphyllinidae,Paraphyllina ransoni,MIN,1.148,0.041,0.25,5,,,,Thuesen & Childress 1994,0.25
V,Medusae,Periphyllidae,Periphylla peryphylla,MIN,0.336,0.012,11,5,,,,Thuesen & Childress 1994,11
V,Medusae,Rhopalonematidae,Tetrorchis erythrogaster,MIN,0.42,0.015,0.44,5,,,,Thuesen & Childress 1994,0.44
V,Medusae,Olindiadidae,Vallentinia adherens,MIN,3.36,0.24,0.026,15,,,,Thuesen & Childress 1994,0.026
V,Medusae,Rhopalonematidae,Vampyrocrossota childressi,MIN,0.476,0.017,0.34,5,,,,Thuesen & Childress 1994,0.34
V,Chaetognatha,Sagittidae,Caeosagitta macrocephala,MIN,1.164,0.097,0.021,5,,,,Thuesen & Childress 1993,0.021
V,Chaetognatha,Sagittidae,Decipisagitta decipiens,MIN,2.652,0.221,0.0054,5,,,,Thuesen & Childress 1993,0.0054
V,Chaetognatha,Eukrohnidae,Eukrohnia bathypelagica,MIN,0.6954,0.060,0.0266,5.5,,,,Thuesen & Childress 1993,0.0266
V,Chaetognatha,Eukrohnidae,Eukrohnia fowleri,MIN,0.516,0.043,0.094,5,,,,Thuesen & Childress 1993,0.094
V,Chaetognatha,Eukrohnidae,Eukrohnia hamata,MIN,0.6375,0.055,0.040,5.5,,,,Thuesen & Childress 1993,0.040
V,Chaetognatha,Sagittidae,Flaccisagitta hexaptera,MIN,0.876,0.073,0.193,5,,,,Thuesen & Childress 1993,0.193
V,Chaetognatha,Heterokrohnidae,Heterokrohnia murina,MIN,0.708,0.059,0.204,5,,,,Thuesen & Childress 1993,0.204
V,Chaetognatha,Sagittidae,Parasagitta elegans,MIN,1.9422,0.151,0.020,4,,,,Thuesen & Childress 1993,0.020
V,Chaetognatha,Sagittidae,Parasagitta euneritica,MIN,3.108,0.518,0.0023,15,,,,Thuesen & Childress 1993,0.0023
V,Chaetognatha,Sagittidae,Pseudosagitta gazellae,MIN,0.3252,0.018,0.387,-0.9,,,,Thuesen & Childress 1993,0.387
V,Chaetognatha,Sagittidae,Pseudosagitta lyra,MIN,0.384,0.032,0.237,5,,,,Thuesen & Childress 1993,0.237
V,Chaetognatha,Sagittidae,Pseudosagitta maxima,MIN,0.42,0.035,0.235,5,,,,Thuesen & Childress 1993,0.235
V,Chaetognatha,Sagittidae,Sagitta elegans,MIN,3.3,0.185,0.042,-0.3,0.0045,0.1037,89.4,Ikeda & Skjoldal 1982,0.042
V,Chaetognatha,Sagittidae,Solidosagitta zetesios,MIN,1.044,0.087,0.071,5,,,,Thuesen & Childress 1993,0.071
