row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
54,Bacillus subtilis (D76),Bacillus subtilis,“Bacilli”: Bacillales μl DM)−1 min)−1,O (5.7 mg 2 (10,,20,32,30,22.63,1.4,"Clifton & Cherry 1966 [Kubitschek 1969, Coulter counter]",Cells harvested after 16 hr growth at 30 respired initially at rate of 60 μl O (5.7 2 DM)−1 min)−1 mg (10 = 105 W/kg; this rate decreased approxi- mately threefold the end of 160 min' measurements (Fig.,C a by 1),1.3999999999999999e-12
55,Bacillus subtilis (NCTC 9848),Bacillus subtilis,“Bacilli”: Bacillales μl DM)−1,O (mg 2 hr−1,,24,75,37,32.65,1.4,"Bishop et al. 1962 [Kubitschek 1969, Coulter counter]",Respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase; respiration of spores was below detection limit.,at,1.3999999999999999e-12
56,Bdellovibrio bacte- riovorus (109J),Bdellovibrio,Deltaproteobacteria: μl DM)−1 Bdellovibrionales,O (mg 2 hr−1,MIN,14.8- 17.3,25,30,17.68,0.3,Hespell et al. [DM=10−13 1973 pg/cell],Cells incubated for 18- 24 hr in a medium containing E. coli cells that were all lyzed by the time of harvest; respiration measured for 2-4 hr Rittenberg & Shilo 1970: 13-27 nmol O protein)−1 (0.42 mg min−1 = 35-72 W/kg 30 C,"Bacterium-predator attacking E. coli Rittenberg & Shilo 1970 report 0.42 mg 1010 protein per cells of strain 109 Straley et al. (1979) characterize this respiration rate as ""unusually high""; Friedberg & Friedberg (1976) as ""ex- tremely high"" 2 at",3e-13
57,Pseudomonas na- triegens,Beneckea na-,Gammaproteobacteria: μl “Vibrionales” DM)−1 min)−1,O (1.07 mg 2 (30,MIN,85,265,30,187.38,1.5,"Cho & Eagon 1967 [Baumann et al. 1971, Figs. 12, 16, rods 0.6- 1.2×1.9-3.6 μm depending on culture condi- tions?]",Cells harvested at end of the logarithmic phase; respiration resting cells measured for 45 min,"the Oxygen uptake with all substrates is characterized as ""low"" (the lowest with DM)−1 hr−1 of glucose, 268 μl O (mg = 2 450 W/kg is within the upper range of maximum specific metabolic rates in bacteria Marine bacterium with shortest known generation time (9.8 min) (Eagon 1962) Synonym Vibrio natriegens",1.5e-12
58,Bradyrhizobium japonicum (I-110),Bradyrhizobium,Alphaproteobacteria: nmol protein)−1 Rhizobiales,O (mg 2 hr−1,MIN,53,1.0,29,0.76,0.7,Frustaci et al. 1991 [BM],Respiration of late-log phase cells,,6.999999999999999e-13
59,Neisseria catarrhalis,Branhamella,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,1,1.7,37,0.74,1.3,"Bishop et al. 1962 [Baumann et al. 1968, diam 1.0- 1.7 μm, coccoid]",Respiration measured immediately after harvesting the cells the end of the loga- rithmic growth phase,Max. resp. (in the presence of glucose) DM)−1 hr−1 was 10 μl O (mg 2 at,1.3000000000000001e-12
60,Branhamella catar- rhalis (Gp4),Branhamella,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1 N)−1,,14,23,30,16.26,1.3,"Jurtshuk & McQuitty 1976 [Baumann et al. 1968, diam 1.0- 1.7 μm, coccoid]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),"the Respiration of Branhamella (Neisseria) catarrhalis (ATCC 25238) and Bran- hamella catarrhalis (NC31) was 16 and DM)−1 hr−1, 17 μl O (mg respectively 2 (27-28 W/kg)",1.3000000000000001e-12
61,Brucella abortus (19),Brucella meliten-,Alphaproteobacteria: μl Rhizobiales hr−1,O (mg 2,MIN,40- 82,6.5,34,3.48,0.3,"Gerhard et al. 1950 [BM9, genus, cocci or short rods 0.5- 0.7×0.6-1.5 μm]",Cells grown for 24 respiration varies among equally pre- pared suspensions,hr;,3e-13
62,Burkholderia sp. (JT 1500),Burkholderia sp.,Betaproteobacteria: nmol DM)−1 Burkholderiales,O (mg 2 min−1,MIN,19,21,30,14.85,0.7,Morawski et al. 1997 [rods 0.5- 0.8×1.5-3.0],Cells grown for 15-18 hr,Bacterium isolated from Miami soil,6.999999999999999e-13
63,Cellvibrio gilvus,Cellvibrio gilvus,Gammaproteobacteria: μl Pseudomonadales packed (30,O (3 mg wet 2 cells)−1 min)−1,MIN,10,37,30,26.16,2,"Hulcher & King 1958a [Hulcher & King 1958b, rods 0.75-1.5×1.5-3.75 μm]",Cells grown on cello- biose for 18 hr at room temperature,"Cells in young cultures are very large (3×10 μm), 24-hr cells grown on cellu- lose were 0.3-0.5×0.8-1.5 μm (Hulcher & King 1958b) There is no such species at http://www.bacterio.cict.fr; higher taxon as for Cellvibrio genus.",2e-12
64,Chromatium sp. (Miami PBS1071),Chromatium sp.,Gammaproteobacteria: nmol Chromatiales DM)−1,O (mg 2 min−1,MIN,4.8,11,25,11.00,,Kumazawa et al. 1983 [BM9 ge- nus: rods 1-6×1.5- 15 μm],2-3 days’ old cultures grown anaerobically the light; respiration increased severalfold upon addition of and fell to the endoge- nous level after H was 2 exhausted,Marine purple sulfur bacterium in H 2,
65,Chromatium vino- sum (2811),Chromatium,Gammaproteobacteria: nmol protein)−1 Chromatiales,O (mg 2 min−1,MIN,2.0,2.2,30,1.56,1.5 1.21,"Overmann & Pfennig 1992 [Montesinos et al. 1983, Coulter counter] [[Mas et al. 1985]]",Respiration of cells without microscopi- cally visible sulfure globules at oxygen concentrations of 11- 67 μM; respiration rates of phototrophi- cally (anaerobically) and chemotrophically (microaerobically) grown cells do differ; the species capable of chemotro- phic growth in dark.,"Purple sulfur bacteria Respiration rate increases with oxygen concentration reaching a plateau at approx. 6 μM. Endogenous respiration of cells with visible sulfur globules is higher, up to protein)−1 min−1 24 nmol O (mg 2 not is the",
66,Corynebacterium diphtheriae (ATCC 11913),Corynebacterium,Actinobacteria: Acti- μl nomycetales DM)−1,O (mg 2 hr−1,MIN,4,6.7,30,4.74,,Jurtshuk & McQuitty 1976 [,Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,
67,Corynebacterium sp.,Corynebacterium,Actinobacteria: Acti- μl nomycetales WM)−1 min)−1,O (100 mg 2 (120,MIN,180,10,30,7.07,,Levine & Kram- pitz 1952,Cells harvested after 2-4 days growth; res- piration measured 2 hr,A soil-isolated bacterium sometimes capable of acetone degradation for,
