row_num,species,U,orig_units,qou,qWkg,q25Wkg,TC,Mpg_pg,order,source,comments,mass_g
52,Prochloron sp. (isolated Lissoclinum patella),Chl,μmol O (mg 2 min−1 a)−1,3.8,127,103.16,28,5600,Chroococcales,"Alberte et al. 1986 [Cox 1986, Fig. 26, diam 22 μm]",Chl/cell=2.7 pg; low-light culture,5.6e-09
53,Schizothrix calcicola,Chl,mg O (mg Chl 2 hr−1 a)−1,0.58,10,10.00,25,,Oscillatoriales,Tang & Vincent 2000,Mat-forming Arctic species; daylength 8 hr,
54,Schizothrix calcicola,Chl,mg O (mg Chl 2 hr−1 a)−1,0.49,8.5,17.00,15,,Oscillatoriales,Tang & Vincent 2000,Mat-forming Arctic species; daylength 8 hr,
55,Schizothrix calcicola,Chl,mg O (mg Chl 2 hr−1 a)−1,1.38,24,24.00,25,,Oscillatoriales,Tang & Vincent 2000,Mat-forming Arctic species; daylength 24 hr,
56,Schizothrix calcicola,Chl,mg O (mg Chl 2 hr−1 a)−1,0.99,17,34.00,15,,Oscillatoriales,Tang & Vincent 2000,Mat-forming Arctic species; daylength 24 hr,
57,Spirulina platensis 1968-3786,D,μmol O (mg Chl 2 hr−1 a)−1,46,9,9.00,25,180,Chroococcales,"Gordillo et al. 1999 [Ciferri 1983, cell diameter 6-8μm, filamentous]","C/DM=0.697 N/DM=0.045 Chl a/DM=0.0053 soluble proteins/DM=0.083 nitrogen-limited, normal CO 2",1.8e-10
58,Spirulina platensis 1968-3786,D,μmol O (mg Chl 2 hr−1 a)−1,116,15,15.00,25,180,Chroococcales,"Gordillo et al. 1999 [Ciferri 1983, cell diameter 6-8μm, filamentous]","C/DM=0.583 N/DM=0.042 Chl a/DM=0.0035 soluble proteins/DM=0.070; nitrogen-unlimited, high CO 2",1.8e-10
59,Spirulina platensis 1968-3786,D,μmol O (mg Chl 2 hr−1 a)−1,33,19,19.00,25,180,Chroococcales,"Gordillo et al. 1999 [Ciferri 1983, cell diameter 6-8μm, filamentous]","C/DM=0.513 N/DM=0.108 Chl a/DM=0.0153 soluble proteins/DM=0.197; nitrogen-unlimited, high CO 2",1.8e-10
60,Spirulina platensis 1968-3786,D,μmol O (mg Chl 2 hr−1 a)−1,31,25,25.00,25,180,Chroococcales,"Gordillo et al. 1999 [Ciferri 1983, cell diameter 6-8μm, filamentous]","C/DM=0.574 N/DM=0.131 Chl a/DM=0.0215 soluble proteins/DM=0.285; nitrogen-unlimited, normal CO 2",1.8e-10
61,Spirulina platensis P,Chl,μmol O (mg Chl 2 hr−1 a)−1,33,18,12.73,30,180,Chroococcales,"Berry et al. 2003 [Ciferri 1983, cell diameter 6-8μm, filamentous]",100 mM NaCl + 50 μM DBIMB,1.8e-10
62,Spirulina platensis P,Chl,μmol O (mg Chl 2 hr−1 a)−1,45,25,17.68,30,180,Chroococcales,"Berry et al. 2003 [Ciferri 1983, cell diameter 6-8μm, filamentous]",100 mM KCl,1.8e-10
63,Spirulina platensis P,Chl,μmol O (mg Chl 2 hr−1 a)−1,62,35,24.75,30,180,Chroococcales,"Berry et al. 2003 [Ciferri 1983, cell diameter 6-8μm, filamentous]",100 mM NaCl + 10 mMNaHCO 3,1.8e-10
64,Spirulina platensis P,Chl,μmol O (mg Chl 2 hr−1 (108 cells)−1,64,36,25.46,30,180,Chroococcales,"Berry et al. 2003 [Ciferri 1983, cell diameter 6-8μm, filamentous]",100 mM NaCl,1.8e-10
65,Synechococcus sp. RF- 8801),Chl,nmol O 2 min−1 at 15 μg Chl a cell−1 a)−1,3,2,1.74,27,14,Chroococcales,"Chen et al. 1989 [Pasteur Culture Collection, www.pasteur.fr, PCC 8801, width/diameter 3 μm]",Chl a/cell=0.15 pg 106,1.4e-11
66,Synechocystis aquatilis,Chl,μmol O (mg Chl 2 hr−1 a)−1,61.8,34,24.04,30,8,Chroococcales,"de Magalhães et al. 2004 [Fig. 6C, cells nearly spherical ~2.5 μm in diam]",0.11-0.23 μg Chl a per cells; control cells (not zinc-treated); isolated in Brasil,8e-12
67,Synechocystis PCC,Chl,mmol O (g Chl 2 s)−1 (30 Chl)−1,0.036,2.4,2.40,25,8,Chroococcales,"Avendaño-Coletta & Schubert 2005 [Stanier et al. 1971, Fig. 5, sphere diam 2.5 μm]","Dark respiration during the first 30 s of 5min:5min light:dark m−2 regime at 200 μmol photons s−1; dark respiration rates at 5:5 and 10:10 regimes and other photon densities (25, 35 and kg−1 100) are up to 7 W [total 12 data entries]",8e-12
68,Synechocystis PCC,Chl,μmol O (mg 2 hr−1 a)−1,43,24,20.89,27,8,Chroococcales,"Hammouda & El-Sheekh 1994 [Stanier et al. 1971, Fig. 5, sphere diam 2.5 μm]",,8e-12
69,Trichodesmium spp.,D,mg O (mg Chl 2 hr−1 a)−1,2.41,7,5.27,29.1,785,Oscillatoriales,"Carpenter & Roenneberg 1995 [Carpenter et al. 2004, Table 10]","Chl a/colony=50 ng C/colony=10 μg This means C/Chl a=200 and DM/Chl a=400, see also Trichodesmium Note; September natural day/night light regime",7.85e-10
70,Trichodesmium spp.,D,mg O (mg Chl 2 hr−1 a)−1,4.93,14,10.76,28.8,785,Oscillatoriales,"Carpenter & Roenneberg 1995 [Carpenter et al. 2004, Table 10]","Chl a/colony=50 ng C/colony=10 μg This means C/Chl a=200 and DM/Chl a=400, see also Trichodesmium Note",7.85e-10
71,Trichodesmium spp.,D,mg O (mg Chl 2 hr−1 a)−1,17.6,51,49.26,25.5,785,Oscillatoriales,"Carpenter & Roenneberg 1995 [Carpenter et al. 2004, Table 10]","Chl a/colony=50 ng C/colony=10 μg This means C/Chl a=200 and DM/Chl a=400, see also Trichodesmium Note",7.85e-10
72,Trichodesmium spp.,Chl,mg O (mg Chl 2 hr−1 a)−1,12.5,218,189.78,27,785,Oscillatoriales,"Roenneberg & Carpenter 1993 [Carpenter et al. 2004, Table 10]","calculated assumed DM/Chl a=67, but see Trichodesmium Note",7.85e-10
73,Trichodesmium spp.,Chl,mg O (mg Chl 2 hr−1 a)−1,13.4,233,202.84,27,785,Oscillatoriales,"Roenneberg & Carpenter 1993 [Carpenter et al. 2004, Table 10]","calculated assumed DM/Chl a=67, but see Trichodesmium Note",7.85e-10
74,Trichodesmium spp.,Chl,mg O (mg Chl 2 hr−1 a)−1,18.0,313,272.48,27,785,Oscillatoriales,"Roenneberg & Carpenter 1993 [Carpenter et al. 2004, Table 10]","calculated assumed DM/Chl a=67, but see Trichodesmium Note",7.85e-10
