species,family,order,M_mg,Q_uW25,mass_g
Proaciculitermes sp. E,Termitidae,Isoptera,2.7,1.4,0.0027
Hypotermes xenotermites,Termitidae,Isoptera,2.6,2.9,0.0026
Macrotermes carbonarius,Termitidae,Isoptera,11.93,51.8,0.01193
Macrotermes gilvus,Termitidae,Isoptera,7.0,5.5,0.007
Macrotermes malaccensis,Termitidae,Isoptera,11.6,14.1,0.0116
Microcerotermes dubius,Termitidae,Isoptera,2.2,2.9,0.0022
Microcerotermes serrula,Termitidae,Isoptera,1.9,2.2,0.0019
Blatta orientalis,Blattidae,Blattodea,325.0,555.9,0.325
Eublaberus posticus,Blattidae,Blattodea,2200.0,4219.5,2.2
Periplaneta americana,Blattidae,Blattodea,900.0,979.4,0.9
Periplaneta orientalis,Blattidae,Blattodea,165.0,307.9,0.165
Blatella germanica,Blattellidae,Blattodea,54.76,203.3,0.054759999999999996
Byrsotria fumagata,Blattellidae,Blattodea,4950.0,5584.6,4.95
Gromphadorhina chopardi,Blattellidae,Blattodea,3400.0,2685.1,3.4
Gromphadorihna portentosa,Blattellidae,Blattodea,4950.0,4747.0,4.95
Parcoblatta sp.,Blattellidae,Blattodea,73.0,92.0,0.073
Blaberus discoidalis,Blaberidae,Blattodea,4080.0,3912.6,4.08
Blaberus giganteus,Blaberidae,Blattodea,4330.0,3646.4,4.33
Leucophaea maderae,Blaberidae,Blattodea,2800.0,2903.9,2.8
Nauphoeta cinerea,Blaberidae,Blattodea,510.0,732.2,0.51
Perisphaeria sp.,Blaberidae,Blattodea,324.1,196.8,0.3241
Sphodromantis gastrica*,Mantidae,Mantodea,335.7,611.6,0.3357
Karoophasma biedouwensis*,Austrophasmatidae,Mantophasmatodea,103.95,317.9,0.10395
Oecanthus quadripunctatus,Gryllidae,Orthoptera,50.0,134.3,0.05
Enyaliopsis petersi,Gryllidae,Orthoptera,750.0,1525.7,0.75
Eugaster loricatus,Gryllidae,Orthoptera,1580.0,1762.1,1.58
Hophlosphyrum griseus,Gryllidae,Orthoptera,36.2,79.9,0.0362
Pternonemobius fasciatus,Gryliidae,Orthoptera,26.17,469.5,0.026170000000000002
Acheta domesticus,Gryllidae,Orthoptera,369.0,1138.6,0.369
Teleogryllus commodus7 Gryllidae,Orthoptera,950.00,5686.0,9.0,5.686
Anurogryllis arboreus,Gryllidae,Orthoptera,310.0,550.9,0.31
Ceuthophilis fossor,Gryllacrididae,Orthoptera,70.15,817.6,0.07015
Ceuthophilis gracilipes11 Gryllacrididae,Orthoptera,259.10,543.0,6.0,0.543
Gryllotalpa australis,Gryllotalpidae,Orthoptera,874.0,2235.6,0.874
Conocephalus fasciatus,Tettigoniidae,Orthoptera,51.37,717.1,0.05137
Euconocephalus nasutus,Tettigoniidae,Orthoptera,650.0,1026.7,0.65
Insara covilleae20 Tettigoniidae,Orthoptera,92.60,1633.0,1.0,1.633
Neoconocephalus robustus,Tettigoniidae,Orthoptera,870.0,3729.9,0.87
Requena verticalis,Tettigoniidae,Orthoptera,370.0,683.0,0.37
Anconia integra,Acrididae,Orthoptera,816.7,2644.1,0.8167000000000001
Bootettix punctatus,Acrididae,Orthoptera,47.01,364.7,0.047009999999999996
Encoptolophus s. costalis,Acrididae,Orthoptera,174.6,462.6,0.1746
Locusta migratoria migratorioides,Acrididae,Orthoptera,1500.0,4934.0,1.5
Melanoplus bivittatus,Acrididae,Orthoptera,1650.0,5057.0,1.65
Melanoplus complanipes,Acrididae,Orthoptera,141.55,624.3,0.14155
Oedalis instillatus,Acridiidae,Orthoptera,627.0,966.4,0.627
Romalea guttata,Acrididae,Orthoptera,2874.0,2696.1,2.874
Taeniopoda eques,Acrididae,Orthoptera,2043.0,2462.0,2.043
Trimerotropis pallidipennis,Acrididae,Orthoptera,221.35,743.3,0.22135
Trimerotropis saxatilis,Acrididae,Orthoptera,155.0,321.8,0.155
